config_id,instance,fitness,population_size,generations,mutation_rate,elitism_size,tournament_size,alpha,gamma,epsilon_start,epsilon_end
8,n00500_R01000_s003.kp,141369,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00500_R10000_s002.kp,1464928,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00500_R10000_s003.kp,1447141,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
9,n00050_R01000_s002.kp,19649,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00050_R01000_s003.kp,20351,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00050_R10000_s002.kp,200504,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00050_R10000_s003.kp,192491,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00100_R01000_s002.kp,28833,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00100_R01000_s003.kp,31071,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00100_R10000_s002.kp,272558,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00100_R10000_s003.kp,305627,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00200_R01000_s002.kp,68148,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00200_R01000_s003.kp,61073,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00200_R10000_s002.kp,698122,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00200_R10000_s003.kp,632998,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00500_R01000_s002.kp,144783,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00500_R01000_s003.kp,142068,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00500_R10000_s002.kp,1448688,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
9,n00500_R10000_s003.kp,1404463,586,391,0.1847,3,5,0.1572,0.5698,0.2977,0.0646
